REFERENCE,CHILD_DRIVE,BIRTHDAY,AGE,HOME_CHILDREN,JOB_TENURE,INCOME,HOME_VAL,MARITAL_STATUS,GENDER,EDUCATION,OCCUPATION,TRAVTIME,CAR_USE,CAR_COST,PTIF,CAR_TYPE,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CLM_AMT,CAR_AGE,CLAIM_FLAG,CITY_RURAL
63581743,0,16-Mar-39,60,0,11,"£67,349",£0,No,M,PhD,Professional,15,Private,14230,11,Minivan,4461,2,No,3,0,18,0,City
132761049,0,21-Jan-56,43,0,11,"£91,449","£259,310",No,M,High School,z_Blue Collar,22,Commercial,14940,1,Minivan,0,0,No,0,0,1,0,City
921317019,0,18-Nov-51,48,0,11,"£52,881",£0,No,M,Bachelors,Manager,26,Private,21970,1,Van,0,0,No,2,0,10,0,City
727598473,0,05-Mar-64,35,1,10,"£16,039","£124,439",Yes,F,High School,Clerical,5,Private,4010,4,SUV,38690,2,No,3,0,10,0,City
450221861,0,05-Jun-48,51,0,14,,"£302,576",Yes,M,<High School,z_Blue Collar,32,Private,15440,7,Minivan,0,0,No,0,0,6,0,City
743146596,0,17-May-49,50,0,,"£114,986","£245,876",Yes,F,PhD,Doctor,37,Private,18000,1,SUV,19217,2,Yes,3,0,17,0,City
871024631,0,05-May-65,34,1,12,"£125,301",£0,No,F,Bachelors,z_Blue Collar,46,Commercial,17430,1,Sports Car,0,0,No,0,2893,7,1,City
792300541,0,28-Feb-45,54,0,,"£18,755",£0,Yes,F,<High School,z_Blue Collar,33,Private,8780,1,SUV,0,0,No,0,0,1,0,City
7945239,1,17-Sep-59,40,1,11,"£50,815",£0,No,M,High School,Manager,21,Private,18930,6,Minivan,3295,1,No,2,6529,1,1,City
3577610,0,21-Aug-55,44,2,12,"£43,486",£0,No,F,High School,z_Blue Collar,30,Commercial,5900,10,SUV,0,0,No,0,0,10,0,Rural
892208080,1,14-Dec-61,37,2,,"£107,961","£339,686",Yes,M,Bachelors,z_Blue Collar,45,Commercial,16970,1,Van,2374,1,Yes,10,3997,7,1,City
77382913,0,22-Nov-64,34,0,10,"£62,978",£0,No,F,Bachelors,Clerical,33,Private,11200,1,SUV,0,0,No,0,2536,1,1,City
856886560,0,22-Oct-49,50,0,7,"£106,952",£0,No,M,Bachelors,Professional,49,Commercial,18510,7,Van,0,0,No,1,0,17,0,Rural
308455362,0,25-Dec-45,53,0,14,"£77,100",£0,No,F,Masters,Lawyer,15,Private,18300,1,Sports Car,0,0,No,0,6101,11,1,City
989828809,0,19-Jun-56,43,0,5,"£52,642","£212,910",Yes,F,Masters,Professional,36,Private,22420,7,Minivan,0,0,No,0,0,1,0,Rural
376482434,0,03-Mar-44,55,0,11,"£59,162","£180,592",Yes,M,Bachelors,Manager,25,Commercial,17600,7,Van,5028,2,Yes,3,0,9,0,City
665591504,0,19-Jul-46,53,0,11,"£130,795",£0,No,M,PhD,,64,Commercial,28340,6,Panel Truck,0,0,No,3,1242,10,1,City
713692930,0,17-Aug-64,35,2,,"£21,204",£0,No,M,High School,Clerical,74,Private,9230,6,Pickup,0,0,Yes,0,0,4,0,Rural
588888550,0,17-Jan-54,45,0,0,£0,"£107,286",Yes,F,<High School,Home Maker,48,Private,6000,1,SUV,0,0,No,3,2873,5,1,City
140015922,0,06-Aug-60,39,3,12,"£51,884","£178,056",No,F,Bachelors,Clerical,44,Private,10590,6,SUV,0,0,No,0,0,13,0,Rural
162166370,0,19-Apr-40,59,0,12,"£87,460",£0,No,M,High School,Manager,44,Private,15420,1,Minivan,44857,2,No,4,4127,1,1,City
884513944,0,20-Dec-56,42,0,11,"£59,945","£190,285",Yes,M,Masters,Lawyer,43,Private,14190,6,Minivan,0,0,No,0,0,16,0,City
627708979,0,14-Sep-65,34,3,13,"£34,019","£93,161",Yes,F,Masters,Lawyer,27,Private,8300,7,SUV,0,0,No,0,0,20,0,City
116375554,0,06-Oct-68,31,2,12,"£18,903","£93,797",Yes,F,<High School,Clerical,48,Private,17330,4,Minivan,0,0,No,0,0,7,0,City
235358484,0,22-Feb-71,28,1,13,"£44,077","£172,986",Yes,F,High School,z_Blue Collar,29,Commercial,8710,6,SUV,8935,2,No,0,6788,1,1,City
528040687,0,07-Feb-56,43,0,13,"£37,214",£0,Yes,M,<High School,z_Blue Collar,51,Commercial,26560,1,Panel Truck,0,0,No,3,3671,1,1,City
652572577,0,16-Dec-50,48,0,14,"£96,274","£282,904",Yes,F,Masters,Lawyer,37,Private,11130,6,SUV,8250,1,No,5,0,14,0,City
410873772,0,24-Jul-52,47,0,11,"£46,281",£0,No,F,<High School,z_Blue Collar,29,Private,19700,10,Minivan,0,0,No,1,0,5,0,City
254362485,2,06-Jul-55,44,2,0,£0,"£81,521",Yes,F,High School,Home Maker,8,Private,5900,6,SUV,3338,3,No,0,0,11,0,City
69165559,0,14-Apr-53,46,0,14,,"£208,349",Yes,M,Bachelors,Professional,7,Commercial,25660,1,Panel Truck,2119,1,No,2,0,12,0,City
201327208,0,14-Dec-38,60,0,12,"£37,940","£182,739",Yes,F,High School,z_Blue Collar,16,Commercial,11290,1,Sports Car,0,0,No,0,5153,1,1,City
573751437,0,14-Dec-65,33,1,13,"£79,606","£226,866",Yes,F,Bachelors,Professional,27,Private,16830,9,SUV,0,0,No,2,0,15,0,Rural
483050926,0,17-Apr-67,32,1,9,"£31,275","£118,160",Yes,F,High School,Clerical,26,Private,10030,1,SUV,0,0,No,0,4567,1,1,City
146989842,1,09-Apr-55,44,2,17,"£45,488","£219,817",Yes,M,Bachelors,Manager,16,Private,22090,17,Minivan,0,0,No,0,0,12,0,City
742435591,0,05-Apr-64,35,0,8,"£72,193",£0,No,F,Bachelors,Clerical,26,Private,12220,6,SUV,0,0,No,3,0,12,0,City
915517588,0,06-May-59,40,2,0,,"£96,999",Yes,F,Masters,Home Maker,15,Private,14130,6,SUV,38127,2,Yes,4,0,12,0,Rural
756785495,0,15-May-45,54,0,12,"£33,212","£159,066",Yes,M,<High School,z_Blue Collar,27,Commercial,24000,4,Panel Truck,0,0,No,5,4970,,1,City
66662029,0,14-Feb-50,49,0,5,"£49,244","£165,078",Yes,M,Bachelors,Clerical,30,Private,15880,1,Minivan,0,0,No,1,0,1,0,City
294816298,2,03-Aug-63,36,2,12,"£130,540","£338,688",No,F,Bachelors,z_Blue Collar,5,Commercial,27200,4,Minivan,0,0,No,0,0,9,0,Rural
686791659,0,07-May-47,52,0,8,"£51,278","£228,497",Yes,F,Bachelors,Professional,37,Private,1500,4,SUV,0,0,No,1,0,10,0,City
269341556,0,28-Sep-58,41,0,7,"£92,842","£288,402",No,M,Masters,,12,Commercial,25810,6,Panel Truck,1431,2,No,5,0,15,0,City
396972296,0,26-Jul-60,39,0,10,"£35,081","£203,650",Yes,M,Bachelors,z_Blue Collar,38,Commercial,16640,4,Van,0,0,No,0,0,13,0,City
364483168,0,09-Apr-43,56,0,0,£0,"£64,210",Yes,F,PhD,Home Maker,66,Private,13220,1,Minivan,0,0,No,0,0,12,0,Rural
866093378,0,07-Mar-50,49,0,12,"£115,044","£312,604",No,F,PhD,Doctor,18,Private,17900,1,Minivan,0,0,No,0,0,14,0,City
515421877,0,30-May-61,38,0,11,"£37,754","£137,157",Yes,F,High School,Clerical,47,Private,12080,1,SUV,0,0,No,2,0,9,0,Rural
173737852,0,01-Jun-56,43,2,17,"£145,353","£411,247",Yes,F,Masters,,37,Commercial,29450,6,Van,0,0,No,0,0,15,0,City
745183922,0,30-Jun-49,50,0,8,"£167,469",£0,No,F,PhD,Doctor,22,Private,34150,4,Sports Car,0,0,No,3,0,1,0,City
298271736,0,04-Nov-36,63,0,15,"£121,398","£339,976",Yes,F,PhD,Doctor,10,Private,16270,1,SUV,0,0,No,0,0,11,0,City
70821537,0,12-Aug-47,52,0,0,£0,"£87,397",No,F,High School,Student,49,Commercial,9280,1,SUV,0,0,No,1,0,6,0,Rural
258951025,0,24-Oct-64,35,0,7,"£14,508",£0,Yes,M,Bachelors,Student,22,Commercial,6450,1,Pickup,0,0,No,0,0,7,0,City
807174588,0,16-Nov-56,43,0,13,"£75,338","£267,308",Yes,F,Bachelors,Manager,40,Private,23080,1,Sports Car,0,0,No,0,0,8,0,City
514538041,0,06-Oct-58,41,0,10,"£32,774",£0,No,F,High School,Clerical,45,Private,20120,4,Minivan,0,0,No,0,0,1,0,Rural
25561360,0,08-Apr-59,40,0,11,"£57,474","£184,181",Yes,M,Bachelors,Clerical,5,Commercial,29270,4,Panel Truck,0,0,No,1,0,5,0,City
753037176,0,07-Aug-68,31,1,12,"£26,520","£153,257",Yes,M,Bachelors,Student,62,Commercial,4600,6,Minivan,0,0,No,2,0,5,0,City
883748009,0,27-Oct-52,47,0,8,"£18,444",£0,Yes,F,High School,Student,35,Commercial,19450,6,SUV,2981,2,No,5,0,,0,City
31827166,0,06-Jan-46,53,0,,"£107,259","£349,887",Yes,M,Masters,Professional,35,Private,29230,10,Minivan,0,0,No,0,0,15,0,City
680782638,0,05-Jun-60,39,3,7,"£34,046","£183,750",Yes,F,High School,Clerical,33,Private,4040,6,SUV,0,0,No,0,0,5,0,Rural
883604551,0,20-May-66,33,3,14,"£32,364","£151,059",Yes,M,<High School,Clerical,40,Private,12270,18,Minivan,0,0,No,3,0,1,0,City
714473703,0,02-Jan-40,59,0,5,"£106,775",£0,No,M,Masters,Lawyer,10,Private,31930,1,Minivan,0,0,No,0,0,,0,City
213057541,0,29-Jan-57,42,0,,"£52,988","£176,275",Yes,M,High School,z_Blue Collar,24,Commercial,23450,1,Minivan,0,0,No,2,0,11,0,Rural
885280620,0,26-Apr-59,40,0,11,"£16,989",£0,No,M,<High School,z_Blue Collar,20,Commercial,12230,4,Pickup,26104,1,Yes,13,6198,6,1,City
931739722,0,15-Jul-58,41,2,7,"£17,755","£151,791",No,F,<High School,Clerical,30,Private,14480,1,Minivan,0,0,Yes,2,0,1,0,City
939401184,1,20-Jan-62,37,2,13,,£0,No,F,High School,z_Blue Collar,63,Commercial,9360,4,Sports Car,0,0,No,0,6183,,1,City
840809480,0,29-Jun-63,36,3,12,"£56,048","£139,490",Yes,M,Masters,Lawyer,15,Private,10700,6,Minivan,2045,2,No,2,0,16,0,City
800426023,0,02-Dec-54,44,2,15,"£16,352","£134,432",Yes,F,High School,Home Maker,36,Private,10520,1,SUV,7838,1,No,1,8894,1,1,City
14827139,0,07-Feb-43,56,0,16,"£44,760","£164,852",Yes,M,Bachelors,Manager,30,Private,21770,13,Minivan,0,0,No,0,0,6,0,City
212687745,1,30-Dec-53,45,1,14,"£63,952","£199,117",Yes,F,Masters,Lawyer,49,Private,32340,6,Van,27877,2,Yes,0,2117,13,1,City
224701093,0,16-Apr-65,34,3,12,"£22,510","£125,870",Yes,M,High School,Clerical,25,Private,14690,4,Minivan,0,0,Yes,0,1250,1,1,Rural
401200262,0,23-Sep-51,48,0,,,"£248,850",Yes,M,Bachelors,Professional,14,Commercial,28560,13,Panel Truck,1554,5,No,1,0,10,0,City
926073051,1,12-Oct-55,44,2,,"£24,060",£0,No,M,Bachelors,Clerical,24,Private,14220,4,Minivan,0,0,No,0,3596,10,1,City
45830738,0,25-Jul-66,33,4,12,"£20,822","£76,630",Yes,F,High School,Home Maker,46,Private,6880,13,SUV,7896,3,No,0,856,1,1,City
997497927,0,06-Dec-66,32,3,14,"£54,968","£148,252",Yes,F,High School,Professional,20,Private,10040,4,SUV,0,0,Yes,0,0,8,0,City
862203239,0,20-Oct-65,34,0,8,"£14,194","£87,730",No,F,<High School,Clerical,13,Private,2920,4,Sports Car,24767,3,Yes,2,7802,10,1,City
116102677,1,06-Nov-61,38,4,12,"£2,149","£74,055",Yes,F,<High School,Home Maker,35,Private,22690,10,Pickup,0,0,No,2,0,1,0,City
635101571,0,18-Feb-64,35,2,12,,£0,No,F,<High School,z_Blue Collar,43,Private,9730,5,SUV,0,0,No,4,5524,4,1,City
793404097,2,02-Jan-55,44,2,14,"£45,576","£157,876",Yes,F,<High School,z_Blue Collar,27,Private,1500,4,Sports Car,25276,1,No,8,0,,0,City
